ব্যক্তিত্বের ; ব্য÷ক্তি÷ত্বে÷র
আত্মবিশ্বাস ; আ÷ত্ম÷বি÷শ্বা÷স
ব্যাক্টেরিয়া ; ব্যা÷ক্টে÷রি÷য়া
সমস্যার  ; স÷ম÷স্যা÷র 
মিশ্রণ ; মি÷শ্র÷ণ
দুর্গন্ধ ; দু÷র্গ÷ন্ধ
পরীক্ষার ; প÷রী÷ক্ষা÷র
কোলেস্টেরল ; কো÷লে÷স্টে÷র÷ল
ব্যায়ামকে ; ব্যা÷য়া÷ম÷কে
সপ্তাহে ; স÷প্তা÷হে
পরীক্ষার ; প÷রী÷ক্ষা÷র
চর্বিজাতীয় ; চ÷র্বি÷জা÷তী÷য়
নিয়ণ্ত্রণ ; নি÷য়÷ণ্ত্র÷ণ
অবশ্যই ; অ÷ব÷শ্য÷ই
নয়াদিল্লির ; ন÷য়া÷দি÷ল্লি÷র
সমীক্ষাটা ; স÷মী÷ক্ষা÷টা
#ভূমিকম্পের ; ভূ÷মি÷ক÷ম্পের
কেন্দ্রীয় ; কে÷ন্দ্রী÷য়
উস্কানিই ; উ÷স্কা÷নি÷ই
সমীক্ষকরা ; স÷মী÷ক্ষ÷ক÷রা
মুহূর্তে ; মু÷হূ÷র্তে
সম্পর্কে ; স÷ম্প÷র্কে
পৌষসংক্রান্তির ; পৌ÷ষ÷সং÷ক্রা÷ন্তি÷র
মুখ্যমন্ত্রী ; মু÷খ্য÷ম÷ন্ত্রী
